"Longitude" "Latitude" "dt" "Magnitude" "lambda" "type"
-119.357680621510 35.0644484141376 873.178397662472 2.17224355651997 0.00357613713582297 2
-120.061799680581 35.6284723830177 876.104406923521 3.73934439439327 0.00104403982508699 2
-115.665786085767 35.5603616136359 878.88937764056 1.55093332211254 0.000296411378326853 2
-114.557022211212 35.3621537005529 880.731868644012 1.80439819497988 8.70033188243466e-05 2
-121.547371448739 41.6522087370977 883.94138472015 2.5754051838303 0.00193807392971871 2
-121.36337058465 36.3262445551809 886.03995094332 1.5033342379611 0.00128404898180844 2
-124.854125368805 42.4452606315026 888.25894560595 2.2201855301857 0.00232808880641522 2
-122.359203321487 36.4837109326618 888.991480009397 0.110092248546425 0.000172806591814254 2
-119.040904020891 35.6741937939078 889.961605756311 1.72408870279323 0.000798030441496528 2
-120.937138606492 36.0012828483013 890.854791756254 2.80724558481015 0.0030481169914582 2
-118.388807885768 36.7377751271706 891.07004693849 1.82975416663103 0.00124204737945912 2
-115.399423112953 36.0730061499635 896.95249960944 4.54704715363914 0.000738028152664618 2
-113.711403152486 32.5557623179629 898.589304513298 1.76042617689818 0.00011220428030107 2
-121.471131602093 35.4470595512539 898.695474939421 1.05603041960858 0.000435616689288999 2
-120.677902774746 42.9482395758387 899.072790761245 1.66090552043170 0.000147605630577271 2
-122.911104944162 41.1912918195594 900.345185377868 3.73369165649638 0.00109204165858853 2
-114.361774599692 33.1828707762761 903.090183256194 1.38371669700136 0.000109804188438224 2
-123.747887962125 38.2616800859105 905.343024501577 1.49117259120103 8.8803387507245e-05 2
-120.676212592958 37.8120187338209 905.49516823003 1.16214803452604 0.000303611653374326 2
-122.359078484843 39.6666865898296 908.935642847326 0.521869350189809 0.00102603913968409 2
-121.061460189382 42.3901356833521 910.277495521354 1.48500382887432 4.47017123296825e-05 2
-118.023946570535 32.9034288525581 910.529295067769 2.96158754912904 0.00325212477594464 2
-119.075884705433 40.1496133469045 913.008468819782 0.210754134762101 0.000185407072679418 2
-119.694663712895 42.3993212598143 914.51438003662 4.85259028970031 0.000105604028410902 2
-114.612799166702 35.8828625025926 916.194345222088 2.74267199852038 0.00570621839127773 2
-124.812519558845 42.2691084512044 919.327775081852 1.94021899339277 0.00296411378326853 2
-120.450765622524 40.5698385634460 923.369510505814 3.57025883443421 0.000426616345369997 2
-125.353218385088 40.1953831358114 924.055524536874 3.05331328500761 0.00484218542884784 2
-118.936820745771 34.3251905208454 924.8713334715 1.98903196624015 0.0028621098943997 2
-124.668450480583 41.5124090779573 928.030734806787 4.77284503265983 0.000798030441496528 2
-115.734636631818 34.1177395817358 931.754802774172 4.12037953877589 0.00201607690403485 2
-117.456616535154 32.215675430838 934.62196316896 0.0804572464898229 0.00337812958118712 2
-117.129542026925 35.0129635422491 935.46270009363 1.37813140754588 0.00435016666225066 2
-114.414050309896 33.289355608169 936.33730470715 0.357174286956433 0.000145205539043215 2
-117.221893793461 33.2832762441831 940.517928385874 0.735896761051845 0.000648024791403196 2
-122.127087217360 42.2914689804893 941.416459294036 0.362193905236199 0.00054302078585532 2
-120.389302759012 42.4670558437938 943.027743126499 1.90506020220928 0.000185407072679418 2
-124.775590107031 41.7367417091737 948.887291882187 3.10563607199583 0.000536420534385017 2
-119.589460840006 33.7267527099466 949.223484160844 3.95101304372074 0.00101403868008263 2
-114.339422107721 35.2126322101103 950.355693341931 4.16509642400779 6.3002410511591e-05 2
-114.285904557724 31.8240768293617 953.364115161123 4.29973729248159 0.000185407072679418 2
-122.263044746127 41.7711800775724 954.677931339014 3.70061111702817 0.000592222662597773 2
-120.211026558978 42.4055629477371 957.107390943915 3.5771067891852 0.000225608606234286 2
-118.797600965830 33.5623058034107 957.432679390302 3.95041492703604 0.00159006065566627 2
-121.344538591406 41.0798408214469 958.088849399006 0.290232882695273 0.000744028382088776 2
-116.432218249817 35.3874637064291 959.182883136673 1.08195070708171 0.00175206683549382 2
-120.625452428986 39.3555665061576 961.349705636036 0.949695572373457 0.00126604829417999 2
-121.591977983247 41.8021902069449 962.908322578296 2.93525051227771 0.000162006179981929 2
-119.406051580352 36.2816782859154 965.242712298175 1.36322586787865 0.000954036393949283 2
-117.330836977344 36.4307106705382 968.537554840324 3.53698389505735 0.000924035249579538 2
-121.179696212872 38.8428545035422 971.071617954643 4.40618598827859 0.000433216597179488 2
-123.578722646227 38.5706461777445 976.090425986564 2.48329689590028 0.000391214995536632 2
-114.883800093876 35.2897592007648 977.641722911969 4.14516066295328 0.000150005722141163 2
-123.849162528757 38.5150190466084 978.259804434376 2.11485710801790 0.00015840604267959 2
-119.968498999765 33.8018596559996 981.237506750273 2.40126374296378 0.00130204966863466 2
-121.110328169377 35.2535630379571 985.096701865783 2.71568281523651 0.000540020671182208 2
-123.692484296579 41.5282850706717 987.737397629768 0.629564962210134 0.00108004119895976 2
-122.959179188660 42.3353216204559 987.772914971225 2.25564016305143 6.42024562544508e-05 2
-118.990802162513 36.1480050139362 990.075348370476 3.94912348237122 0.00051901987049699 2
-115.053527645767 34.9712107272353 990.37796338019 3.11855182328727 8.2203135708086e-05 2
-121.797309323237 41.6379594297614 991.745969464304 4.59448213856667 0.00058442236559809 2
-120.388344397 40.4559892548714 993.596498936182 1.03146779781673 0.000472818107873345 2
-119.844143022434 36.8868840442738 996.433660811977 4.00059510720894 0.000852032501704358 2
-121.477365544438 41.3157259640284 996.755469284952 0.555634059780277 0.00082203135708086 2
-121.367282864987 35.2904444774613 999.727437496185 2.70284943165025 0.000241809224265019 2
-119.881205822155 34.2969755741069 1001.18846364110 2.46793597581564 0.00404415498672772 2
-120.779635912925 40.2687740599504 1002.56807005871 1.33212431198917 0.000846032272607006 2
-118.015594305773 37.5938240434043 1003.11598309246 1.56473681281786 0.00226208628577479 2
-121.408993900171 39.50502360682 1006.44575960352 1.37038036884042 0.00178206798256766 2
-119.454325825232 37.4227897769306 1007.77384097083 1.52461656024680 0.00262210002892482 2
-121.941797764529 34.813400731422 1011.53377199755 4.02648753501708 7.50028610909211e-05 2
-118.013709017867 34.8147953586886 1011.55630697822 4.08078229370294 0.000305411721993539 2
-114.384088123706 33.2288085119799 1015.09875190817 2.75659742265707 0.00017880682063633 2
-123.525807379838 38.3119771553902 1015.94709082716 3.4823153883568 0.000156005951082903 2
-123.644404261443 39.7624625321478 1017.7879397762 0.259085655072704 0.00300611538964013 2
-114.859744653222 34.7239386691945 1018.31155335950 0.559974139882252 4.96819023367913e-05 2
-119.063889067015 41.396500806557 1020.35188912507 4.80247366247931 0.000195007438846605 2
-120.077394690108 34.9696603360353 1020.38045200729 0.854818795784377 0.000458417558741221 2
-116.701817123825 36.549713386572 1024.60079694004 2.30495902168332 0.000516619779182326 2
-119.944931753981 41.6938185520703 1026.08845855831 0.480865358572919 0.000750028610909211 2
-118.543224418536 36.3947410768596 1029.16588592017 4.48969237385318 0.000666025477960478 2
-122.235594734503 35.8595141385449 1034.66464366228 4.15936672022799 5.47820969118988e-05 2
-117.415036960621 32.3480775455246 1041.44365846459 0.919354266207665 0.00199207598821997 2
-122.793266309635 37.6755724439863 1041.94592407416 2.37059458064614 0.000478818336585617 2
-116.954102139710 37.6122980250511 1044.90734092495 1.71456748566125 0.000501019184046744 2
-119.048768443032 36.2415147026768 1046.46263914439 3.78533668478485 0.000295811355981371 2
-115.048020313913 35.0606994980481 1047.99592750287 2.30774036315270 0.000114004348700182 2
